StationID,Visit,Year,Footprint,Mitigation Property,Valley,ValleyUpstPine,ValleyUpstDam,BBFM_ID,Easting,Northing,Longitude,Latitude,BHC20,Date,Time,SurveyDuration,B-ALFL,B-AMCR,B-AMPI,B-AMRE,B-AMRO,B-ATTW,B-BAOR,B-BASW,B-BAWW,B-BAYW,B-BBMA,B-BCCH,B-BHCO,B-BHVI,B-BKPW,B-BKSW,B-BLJA,B-BOCH,B-BOWA,B-BRBL,B-BRCR,B-BTNW,B-CAVI,B-CAWA,B-CCSP,B-CEWA,B-CHSP,B-CLSW,B-CMWA,B-COGR,B-CONI,B-CORA,B-COWA,B-COYE,B-DEJU,B-DOWO,B-DUFL,B-EAKI,B-EAPH,B-EUST,B-EVGR,B-FOSP,B-GCKI,B-GCRF,B-GCSP,B-GRCA,B-GRJA,B-HAFL,B-HAWO,B-HETH,B-HOSP,B-HOWR,B-LALO,B-LCSP,B-LEFL,B-LISP,B-MACW,B-MAWR,B-MGNW,B-MODO,B-MOWA,B-NAWA,B-NOFL,B-NOSH,B-NOWA,B-NRWS,B-OCWA,B-OSFL,B-OVEN,B-PAWR,B-PHVI,B-PISI,B-PIWO,B-PSFL,B-PUFI,B-RBGR,B-RBNU,B-RBSA,B-RCKI,B-RECR,B-REVI,B-RUBL,B-RWBL,B-SAPH,B-SASP,B-SAVS,B-SOSP,B-SWSP,B-SWTH,B-TEWA,B-TOSO,B-TOWA,B-TRSW,B-VATH,B-VESP,B-VGSW,B-WAVI,B-WBNU,B-WCSP,B-WEME,B-WETA,B-WIWA,B-WIWR,B-WTSP,B-WWCR,B-WWPE,B-YBFL,B-YBSA,B-YEWA,B-YRWA
PC06-A-04A,2,2006,Yes,No,Yes,Yes,Yes,BBFM0214,569500,6210500,-121.8846179,56.03467574,CMF,2006-06-20,1899-12-31T05:15:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
PC06-A-05A,2,2006,Yes,No,Yes,Yes,Yes,BBFM0218,569760,6210580,-121.8804253,56.03535661,CMF,2006-06-20,1899-12-31T05:15:00Z,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
PC06-A-1,1,2006,Yes,No,Yes,Yes,Yes,BBFM0194,568982,6210115,-121.8930283,56.03129206,CMF,2006-05-29,1899-12-31T04:45:00Z,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
PC06-A-1,2,2006,Yes,No,Yes,Yes,Yes,BBFM0194,568982,6210115,-121.8930283,56.03129206,CMF,2006-06-20,1899-12-31T05:15:00Z,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
PC06-A-10,1,2006,Yes,No,Yes,Yes,Yes,BBFM0139,567555,6208715,-121.9162755,56.01891874,CMF,2006-05-29,1899-12-31T04:45:00Z,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PC06-A-11,1,2006,Yes,No,Yes,Yes,Yes,BBFM0134,567498,6208657,-121.9172043,56.01840574,CYF,2006-05-29,1899-12-31T04:45:00Z,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
PC06-A-12,1,2006,Yes,No,Yes,Yes,Yes,BBFM0129,567360,6208500,-121.919457,56.01701477,CMF,2006-05-29,1899-12-31T04:45:00Z,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1
PC06-A-13,2,2006,Yes,No,Yes,Yes,Yes,BBFM0239,570120,6211260,-121.8744712,56.0414126,CYF,2006-06-20,1899-12-31T05:15:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
PC06-A-14,2,2006,Yes,No,Yes,Yes,Yes,BBFM0250,570140,6211600,-121.8740612,56.04446394,WRI,2006-06-20,1899-12-31T05:15:00Z,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PC06-A-15,2,2006,Yes,No,Yes,Yes,Yes,BBFM0252,570460,6211700,-121.8688992,56.04531528,CMF,2006-06-20,1899-12-31T05:15:00Z,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
